plots,r,trt,TuberLengthGrowth
1,1,T6,13.04
2,1,T1,18.73
3,1,T7,15.4
4,1,T5,12.71
5,2,T5,13.25
6,2,T7,16
7,3,T5,14.28
8,1,T3,11.09
9,2,T6,13.69
10,1,T2,16.14
11,2,T3,14.56
12,3,T6,13.35
13,4,T6,14.51
14,3,T7,15.91
15,5,T6,13.76
16,1,T4,14.17
17,3,T3,11.23
18,4,T5,12.54
19,5,T5,11.99
20,2,T1,16.23
21,6,T6,13.56
22,6,T5,11.64
23,7,T6,14.95
24,4,T3,9.31
25,2,T4,12.51
26,2,T2,17.12
27,3,T4,14.88
28,4,T7,18.5
29,4,T4,15.05
30,3,T1,17.33
31,5,T3,10.31
32,8,T6,14.61
33,4,T1,18.1
34,5,T4,14
35,5,T7,15.84
36,5,T1,19.36
37,6,T7,18
38,3,T2,16.16
39,6,T4,15.41
40,4,T2,15.23
41,6,T1,16.83
42,7,T4,16.02
43,7,T1,18.37
44,5,T2,16.69
45,9,T6,13.79
46,7,T7,17.25
47,6,T2,18.21
48,7,T2,17.65
49,8,T2,15.13
50,8,T7,17.63
51,7,T5,12.21
52,8,T4,16.99
53,9,T4,16.13
54,10,T4,17.18
55,6,T3,11.77
56,9,T7,18.57
57,8,T5,13.57
58,10,T6,14.34
59,9,T5,12.23
60,11,T6,14.13
61,7,T3,12
62,8,T3,10.73
63,10,T5,13.54
64,9,T3,9.57
65,9,T2,15.37
66,11,T5,9.76
67,10,T3,12.26
68,8,T1,16.74
69,10,T7,17.1
70,9,T1,18.13
71,11,T4,14.99
72,10,T2,14.65
73,11,T3,9.91
74,11,T7,18.44
75,10,T1,18.6
76,11,T2,16.19
77,12,T5,11.73
78,11,T1,18.66
79,12,T2,14.8
80,12,T7,18.24
81,12,T3,11.09
82,12,T4,13.88
83,12,T6,14.57
84,12,T1,16.87
