Block,WholePlot,Row,Column,Genotype,Fungicide,Yield
B1,1,1,1,G54,F1,5.89
B1,1,1,2,G44,F1,6.17
B1,1,1,3,G68,F1,5.68
B1,1,1,4,G59,F1,5.85
B1,1,1,5,G61,F1,5.8
B1,1,1,6,G67,F1,6.01
B1,1,1,7,G45,F1,5.89
B1,2,1,8,G10,F2,4.53
B1,2,1,9,G27,F2,5.32
B1,2,1,10,G60,F2,5.36
B1,2,1,11,G53,F2,5.1
B1,2,1,12,G57,F2,5.51
B1,2,1,13,G58,F2,5.15
B1,2,1,14,G48,F2,5.3
B2,1,1,15,G22,F1,5.65
B2,1,1,16,G45,F1,5.38
B2,1,1,17,G21,F1,5.36
B2,1,1,18,G36,F1,5.71
B2,1,1,19,G27,F1,5.83
B2,1,1,20,G68,F1,5.48
B2,1,1,21,G64,F1,5.55
B2,2,1,22,G27,F2,4.83
B2,2,1,23,G05,F2,4.43
B2,2,1,24,G45,F2,4.72
B2,2,1,25,G43,F2,4.85
B2,2,1,26,G70,F2,5.08
B2,2,1,27,G63,F2,4.82
B2,2,1,28,G55,F2,4.73
B3,1,1,29,G36,F1,5.86
B3,1,1,30,G65,F1,5.41
B3,1,1,31,G33,F1,5.58
B3,1,1,32,G38,F1,5.18
B3,1,1,33,G56,F1,5.65
B3,1,1,34,G44,F1,5.39
B3,1,1,35,G29,F1,5.46
B3,2,1,36,G12,F2,4.68
B3,2,1,37,G09,F2,4.71
B3,2,1,38,G37,F2,4.64
B3,2,1,39,G17,F2,4.56
B3,2,1,40,G10,F2,4.62
B3,2,1,41,G34,F2,4.57
B3,2,1,42,G43,F2,4.63
B4,1,1,43,G41,F2,4.88
B4,1,1,44,G24,F2,4.53
B4,1,1,45,G65,F2,5.1
B4,1,1,46,G11,F2,4.96
B4,1,1,47,G47,F2,5.02
B4,1,1,48,G28,F2,4.69
B4,1,1,49,G12,F2,5.11
B4,2,1,50,G13,F1,5.5
B4,2,1,51,G14,F1,4.91
B4,2,1,52,G22,F1,5.47
B4,2,1,53,G46,F1,5.02
B4,2,1,54,G02,F1,5.13
B4,2,1,55,G67,F1,5.38
B4,2,1,56,G52,F1,5.25
B1,1,2,1,G37,F1,6.08
B1,1,2,2,G23,F1,6.23
B1,1,2,3,G69,F1,6.19
B1,1,2,4,G51,F1,5.96
B1,1,2,5,G15,F1,5.74
B1,1,2,6,G50,F1,5.97
B1,1,2,7,G53,F1,5.86
B1,2,2,8,G33,F2,5.67
B1,2,2,9,G50,F2,5.28
B1,2,2,10,G21,F2,5.04
B1,2,2,11,G07,F2,5.44
B1,2,2,12,G37,F2,5.46
B1,2,2,13,G54,F2,5.95
B1,2,2,14,G01,F2,4.67
B2,1,2,15,G51,F1,5.66
B2,1,2,16,G48,F1,5.88
B2,1,2,17,G04,F1,4.4
B2,1,2,18,G16,F1,5.55
B2,1,2,19,G30,F1,5.37
B2,1,2,20,G42,F1,5.34
B2,1,2,21,G23,F1,5.85
B2,2,2,22,G15,F2,4.73
B2,2,2,23,G22,F2,5.08
B2,2,2,24,G46,F2,5.25
B2,2,2,25,G40,F2,5.46
B2,2,2,26,G12,F2,5.28
B2,2,2,27,G57,F2,5.44
B2,2,2,28,G04,F2,4.31
B3,1,2,29,G57,F1,5.91
B3,1,2,30,G30,F1,5.31
B3,1,2,31,G19,F1,5.97
B3,1,2,32,G13,F1,5.59
B3,1,2,33,G03,F1,6.45
B3,1,2,34,G69,F1,5.61
B3,1,2,35,G45,F1,5.36
B3,2,2,36,G56,F2,4.98
B3,2,2,37,G24,F2,4.58
B3,2,2,38,G15,F2,4.57
B3,2,2,39,G18,F2,5.19
B3,2,2,40,G11,F2,4.86
B3,2,2,41,G47,F2,5.17
B3,2,2,42,G55,F2,4.94
B4,1,2,43,G22,F2,5.25
B4,1,2,44,G21,F2,4.89
B4,1,2,45,G53,F2,5.24
B4,1,2,46,G57,F2,5.36
B4,1,2,47,G49,F2,5.01
B4,1,2,48,G10,F2,4.77
B4,1,2,49,G02,F2,4.71
B4,2,2,50,G68,F1,5.59
B4,2,2,51,G37,F1,5.71
B4,2,2,52,G15,F1,5.75
B4,2,2,53,G49,F1,5.11
B4,2,2,54,G48,F1,5.61
B4,2,2,55,G60,F1,5.75
B4,2,2,56,G66,F1,5.64
B1,1,3,1,G02,F1,5.71
B1,1,3,2,G62,F1,6.3
B1,1,3,3,G21,F1,5.7
B1,1,3,4,G57,F1,5.63
B1,1,3,5,G32,F1,5.76
B1,1,3,6,G43,F1,5.73
B1,1,3,7,G17,F1,5.89
B1,2,3,8,G49,F2,4.84
B1,2,3,9,G30,F2,4.9
B1,2,3,10,G29,F2,5.41
B1,2,3,11,G19,F2,5.65
B1,2,3,12,G39,F2,5.35
B1,2,3,13,G52,F2,5.6
B1,2,3,14,G26,F2,5.03
B2,1,3,15,G53,F1,5.63
B2,1,3,16,G62,F1,5.53
B2,1,3,17,G03,F1,6.66
B2,1,3,18,G31,F1,5.5
B2,1,3,19,G34,F1,5.22
B2,1,3,20,G13,F1,5.79
B2,1,3,21,G63,F1,5.25
B2,2,3,22,G32,F2,4.89
B2,2,3,23,G14,F2,4.28
B2,2,3,24,G29,F2,4.63
B2,2,3,25,G24,F2,4.43
B2,2,3,26,G26,F2,4.76
B2,2,3,27,G17,F2,5.1
B2,2,3,28,G38,F2,5.11
B3,1,3,29,G42,F1,5.45
B3,1,3,30,G15,F1,5.47
B3,1,3,31,G39,F1,5.42
B3,1,3,32,G05,F1,5.48
B3,1,3,33,G34,F1,5.31
B3,1,3,34,G07,F1,5.8
B3,1,3,35,G32,F1,5.52
B3,2,3,36,G21,F2,4.86
B3,2,3,37,G60,F2,5.13
B3,2,3,38,G45,F2,4.39
B3,2,3,39,G70,F2,5.07
B3,2,3,40,G08,F2,4.87
B3,2,3,41,G13,F2,5.71
B3,2,3,42,G46,F2,4.79
B4,1,3,43,G60,F2,5.2
B4,1,3,44,G34,F2,4.57
B4,1,3,45,G09,F2,5.28
B4,1,3,46,G50,F2,5.29
B4,1,3,47,G70,F2,5.3
B4,1,3,48,G27,F2,5.33
B4,1,3,49,G45,F2,5.01
B4,2,3,50,G32,F1,5.72
B4,2,3,51,G59,F1,5.88
B4,2,3,52,G34,F1,5.67
B4,2,3,53,G24,F1,5.08
B4,2,3,54,G39,F1,5.82
B4,2,3,55,G41,F1,5.66
B4,2,3,56,G33,F1,5.51
B1,1,4,1,G66,F1,6.17
B1,1,4,2,G64,F1,6.34
B1,1,4,3,G38,F1,5.88
B1,1,4,4,G47,F1,5.63
B1,1,4,5,G55,F1,5.68
B1,1,4,6,G27,F1,6.66
B1,1,4,7,G35,F1,5.93
B1,2,4,8,G67,F2,5.39
B1,2,4,9,G42,F2,5.22
B1,2,4,10,G35,F2,5.1
B1,2,4,11,G09,F2,5.5
B1,2,4,12,G70,F2,5.12
B1,2,4,13,G28,F2,4.96
B1,2,4,14,G14,F2,4.61
B2,1,4,15,G24,F1,4.97
B2,1,4,16,G40,F1,5.67
B2,1,4,17,G38,F1,5.8
B2,1,4,18,G55,F1,5.11
B2,1,4,19,G09,F1,5.59
B2,1,4,20,G17,F1,5.59
