Column,Row,Block,Treatment,Yield
1,1,1,MatavenL_3.0L,0.951
1,2,1,MatavenL_2.25L,1.188
1,3,1,Hoegrass_0.75L,1.011
1,4,1,Atlantis_300mL,1.389
1,5,1,Achieve_300g,1.587
1,6,1,Wildcat_300mL,1.357
1,7,1,Achieve_380g,1.329
1,8,1,Topik_85mL,1.574
1,9,1,Hoegrass_1.2L,1.808
1,10,1,Topik_65mL,1.398
1,11,1,Tristar_1.0L,0.97
1,12,1,Wildcat_350mL,1.267
1,13,1,Hussar_150g,3.247
1,14,1,Wildcat_250mL,2.866
1,15,1,Atlantis_330mL,2.463
1,16,1,Achieve_250g,3.255
1,17,1,Hussar_200g,2.802
1,18,1,Control_0,2.703
1,19,1,Hoegrass_1.0L,2.971
1,20,1,Topik_50mL,2.416
1,21,1,Tristar_1.5L,3.126
2,1,2,Achieve_300g,1.543
2,2,2,Atlantis_330mL,1.981
2,3,2,Topik_85mL,1.803
2,4,2,Wildcat_250mL,2.002
2,5,2,MatavenL_2.25L,1.376
2,6,2,Topik_65mL,1.983
2,7,2,Atlantis_300mL,1.069
2,8,2,Hussar_200g,2.007
2,9,2,Tristar_1.5L,2.026
2,10,2,Achieve_250g,1.566
2,11,2,Wildcat_300mL,0.938
2,12,2,Topik_50mL,1.429
2,13,2,Hoegrass_0.75L,1.511
2,14,2,Wildcat_350mL,1.738
2,15,2,Achieve_380g,1.964
2,16,2,Tristar_1.0L,1.957
2,17,2,Hoegrass_1.0L,1.978
2,18,2,MatavenL_3.0L,3.188
2,19,2,Hoegrass_1.2L,2.796
2,20,2,Hussar_150g,3.318
2,21,2,Control_0,2.494
3,1,3,Achieve_250g,1.813
3,2,3,Wildcat_350mL,1.518
3,3,3,Wildcat_300mL,1.563
3,4,3,Control_0,1.197
3,5,3,Tristar_1.0L,1.793
3,6,3,Atlantis_330mL,1.681
3,7,3,Tristar_1.5L,2.688
3,8,3,MatavenL_3.0L,2.277
3,9,3,Topik_85mL,1.734
3,10,3,Hussar_150g,2.298
3,11,3,MatavenL_2.25L,1.788
3,12,3,Hoegrass_1.2L,1.638
3,13,3,Achieve_380g,1.876
3,14,3,Hussar_200g,2.588
3,15,3,Wildcat_250mL,2.04
3,16,3,Topik_50mL,1.487
3,17,3,Topik_65mL,1.934
3,18,3,Hoegrass_0.75L,1.803
3,19,3,Achieve_300g,1.616
3,20,3,Hoegrass_1.0L,2.078
3,21,3,Atlantis_300mL,2.426
