Plot,Row,Column,Variety,Yield
1,1,1,Drysdale,2
2,2,1,Caryina,2.4
3,3,1,Pugsley,2.78
4,4,1,Lang,1.61
5,5,1,Endure,2.35
6,6,1,Janz,2.29
7,7,1,Arrino,2.71
8,8,1,Fortune,2.64
9,9,1,Baxter,2.2
10,1,2,Pugsley,2.87
11,2,2,Zippy,2.53
12,3,2,Fortune,2.5
13,4,2,Caryina,2.76
14,5,2,Baxter,2.04
15,6,2,Wylah,1.87
16,7,2,Lang,2.03
17,8,2,Drysdale,2.11
18,9,2,Arrino,2.9
19,1,3,Baxter,2.18
20,2,3,Drysdale,2.28
21,3,3,Orion,2.03
22,4,3,Pugsley,2.6
23,5,3,Janz,2.38
24,6,3,Endure,2.23
25,7,3,Fortune,2.44
26,8,3,Wylah,2.14
27,9,3,Zippy,2.08
28,1,4,Zippy,2.24
29,2,4,Janz,1.91
30,3,4,Caryina,2.46
31,4,4,Endure,2.14
32,5,4,Lang,2.28
33,6,4,Orion,2.59
34,7,4,Wylah,2.38
35,8,4,Arrino,2.65
36,9,4,Orion,2.19
