Order,Block,WholePlot,Row,Column,Nitrogen,Genotype,Yield
1,B1,3,16,3,0,GoldenRain,80
2,B2,4,12,4,0,GoldenRain,60
3,B3,1,3,3,0,GoldenRain,89
4,B4,3,14,1,0,GoldenRain,117
5,B5,4,8,2,0,GoldenRain,64
6,B6,2,5,2,0,GoldenRain,70
7,B1,2,15,4,0.2,GoldenRain,82
8,B2,2,11,4,0.2,GoldenRain,102
9,B3,2,3,4,0.2,GoldenRain,82
10,B4,4,14,2,0.2,GoldenRain,114
11,B5,3,8,1,0.2,GoldenRain,103
12,B6,3,6,1,0.2,GoldenRain,108
13,B1,4,16,4,0.4,GoldenRain,94
14,B2,1,11,3,0.4,GoldenRain,89
15,B3,4,4,4,0.4,GoldenRain,86
16,B4,1,13,1,0.4,GoldenRain,161
17,B5,1,7,1,0.4,GoldenRain,132
18,B6,4,6,2,0.4,GoldenRain,126
19,B1,1,15,3,0.6,GoldenRain,126
20,B2,3,12,3,0.6,GoldenRain,96
21,B3,3,4,3,0.6,GoldenRain,104
22,B4,2,13,2,0.6,GoldenRain,141
23,B5,2,7,2,0.6,GoldenRain,133
24,B6,1,5,1,0.6,GoldenRain,149
25,B1,1,17,3,0,Marvellous,63
26,B2,2,7,4,0,Marvellous,89
27,B3,3,2,3,0,Marvellous,97
28,B4,2,17,2,0,Marvellous,105
29,B5,4,12,2,0,Marvellous,70
30,B6,2,3,2,0,Marvellous,96
31,B1,2,17,4,0.2,Marvellous,70
32,B2,1,7,3,0.2,Marvellous,129
33,B3,4,2,4,0.2,Marvellous,99
34,B4,1,17,1,0.2,Marvellous,140
35,B5,1,11,1,0.2,Marvellous,89
36,B6,4,4,2,0.2,Marvellous,124
37,B1,3,18,3,0.4,Marvellous,109
38,B2,3,8,3,0.4,Marvellous,132
39,B3,1,1,3,0.4,Marvellous,119
40,B4,4,18,2,0.4,Marvellous,118
41,B5,3,12,1,0.4,Marvellous,104
42,B6,1,3,1,0.4,Marvellous,121
43,B1,4,18,4,0.6,Marvellous,99
44,B2,4,8,4,0.6,Marvellous,124
45,B3,2,1,4,0.6,Marvellous,121
46,B4,3,18,1,0.6,Marvellous,156
47,B5,2,11,2,0.6,Marvellous,117
48,B6,3,4,1,0.6,Marvellous,144
49,B1,2,13,4,0,Victory,62
50,B2,1,9,3,0,Victory,68
51,B3,4,6,4,0,Victory,53
52,B4,3,16,1,0,Victory,111
53,B5,4,10,2,0,Victory,74
54,B6,3,2,1,0,Victory,61
55,B1,3,14,3,0.2,Victory,90
56,B2,2,9,4,0.2,Victory,64
57,B3,2,5,4,0.2,Victory,74
58,B4,4,16,2,0.2,Victory,130
59,B5,1,9,1,0.2,Victory,89
60,B6,1,1,1,0.2,Victory,91
61,B1,4,14,4,0.4,Victory,100
62,B2,3,10,3,0.4,Victory,112
63,B3,3,6,3,0.4,Victory,118
64,B4,2,15,2,0.4,Victory,157
65,B5,2,9,2,0.4,Victory,81
66,B6,2,1,2,0.4,Victory,97
67,B1,1,13,3,0.6,Victory,116
68,B2,4,10,4,0.6,Victory,86
69,B3,1,5,3,0.6,Victory,113
70,B4,1,15,1,0.6,Victory,174
71,B5,3,10,1,0.6,Victory,122
72,B6,4,2,2,0.6,Victory,100
