Row,Column,Block,WholePlot,Subplot,Irrigation,Variety,Yield
1,1,1,1,1,Rainfed,Bravo,3.97
1,2,1,1,2,Rainfed,Victory,4.64
1,3,1,1,3,Rainfed,Cobbler,3.47
1,4,1,1,4,Rainfed,Thumper,3.06
1,5,1,1,5,Rainfed,Hyola,3.88
2,1,1,2,1,Irrigated,Victory,5.24
2,2,1,2,2,Irrigated,Thumper,5.82
2,3,1,2,3,Irrigated,Bravo,5.84
2,4,1,2,4,Irrigated,Hyola,5.47
2,5,1,2,5,Irrigated,Cobbler,5.42
3,1,2,1,1,Irrigated,Bravo,8.69
3,2,2,1,2,Irrigated,Hyola,8.29
3,3,2,1,3,Irrigated,Cobbler,8.97
3,4,2,1,4,Irrigated,Victory,7.54
3,5,2,1,5,Irrigated,Thumper,7.44
4,1,2,2,1,Rainfed,Thumper,5.85
4,2,2,2,2,Rainfed,Bravo,6.96
4,3,2,2,3,Rainfed,Hyola,7.87
4,4,2,2,4,Rainfed,Cobbler,7.25
4,5,2,2,5,Rainfed,Victory,7.74
5,1,3,1,1,Irrigated,Cobbler,8.87
5,2,3,1,2,Irrigated,Hyola,9.35
5,3,3,1,3,Irrigated,Victory,8.29
5,4,3,1,4,Irrigated,Bravo,8.52
5,5,3,1,5,Irrigated,Thumper,7.51
6,1,3,2,1,Rainfed,Thumper,4.93
6,2,3,2,2,Rainfed,Cobbler,5.69
6,3,3,2,3,Rainfed,Hyola,6.83
6,4,3,2,4,Rainfed,Victory,6.92
6,5,3,2,5,Rainfed,Bravo,6.79
