inf,trt,row,col,Season,Rate,Control
9,F3,4,1,F,3,No
12,O,4,2,O,0,Yes
18,S6,4,3,S,6,No
10,F12,4,4,F,12,No
24,S6,4,5,S,6,No
17,S12,4,6,S,12,No
30,S3,4,7,S,3,No
16,F6,4,8,F,6,No
10,O,3,1,O,0,Yes
7,S3,3,2,S,3,No
4,F12,3,3,F,12,No
10,F6,3,4,F,6,No
21,S3,3,5,S,3,No
24,O,3,6,O,0,Yes
29,O,3,7,O,0,Yes
12,S6,3,8,S,6,No
9,F3,2,1,F,3,No
7,S12,2,2,S,12,No
18,F6,2,3,F,6,No
30,O,2,4,O,0,Yes
18,F6,2,5,F,6,No
16,S12,2,6,S,12,No
16,F3,2,7,F,3,No
4,F12,2,8,F,12,No
9,S3,1,1,S,3,No
18,O,1,2,O,0,Yes
17,S12,1,3,S,12,No
19,S6,1,4,S,6,No
32,O,1,5,O,0,Yes
5,F12,1,6,F,12,No
26,O,1,7,O,0,Yes
4,F3,1,8,F,3,No
