Plot,Row,Column,Replicate,Variety,AverageFruitSize
1,1,1,1,CarolinaCross,1.5
2,1,2,1,Hercules,2.5
3,1,3,1,Sudanese,7.2
4,1,4,1,Melitopolski,2
5,1,5,1,Orangeglo,3
6,1,6,1,Pharoah,2.3
7,1,7,1,Phantom,1.8
8,2,1,2,Melitopolski,3.9
9,2,2,2,Pharoah,2.8
10,2,3,2,CarolinaCross,3.4
11,2,4,2,Orangeglo,3.4
12,2,5,2,Hercules,3.4
13,2,6,2,Sudanese,8.2
14,2,7,2,Phantom,1.4
15,3,1,3,Phantom,3.1
16,3,2,3,Hercules,5.1
17,3,3,3,Orangeglo,4.9
18,3,4,3,Sudanese,10.5
19,3,5,3,CarolinaCross,1.9
20,3,6,3,Pharoah,1.9
21,3,7,3,Melitopolski,5.2
22,4,1,4,Pharoah,3.6
23,4,2,4,CarolinaCross,4.1
24,4,3,4,Orangeglo,6.6
25,4,4,4,Sudanese,10
26,4,5,4,Hercules,4.8
27,4,6,4,Melitopolski,6.6
28,4,7,4,Phantom,4.1
29,5,1,5,Hercules,7.7
30,5,2,5,CarolinaCross,3.3
31,5,3,5,Pharoah,3.7
32,5,4,5,Melitopolski,6.2
33,5,5,5,Phantom,5
34,5,6,5,Sudanese,8.5
35,5,7,5,Orangeglo,6.9
