Block,WholePlot,Row,Column,Nitrogen,Genotype,Yield
B2,1,1,1,0.2,Victory,91
B2,2,2,1,0,Victory,61
B2,3,3,1,0.4,Marvellous,121
B2,1,4,1,0.6,Marvellous,144
B2,2,5,1,0.6,GoldenRain,149
B2,3,6,1,0.2,GoldenRain,108
B4,1,7,1,0.4,GoldenRain,132
B4,2,8,1,0.2,GoldenRain,103
B4,3,9,1,0.2,Victory,89
B4,1,10,1,0.6,Victory,122
B4,2,11,1,0.2,Marvellous,89
B4,3,12,1,0.4,Marvellous,104
B1,1,13,1,0.4,GoldenRain,161
B1,2,14,1,0,GoldenRain,117
B1,3,15,1,0.6,Victory,174
B1,1,16,1,0,Victory,111
B1,2,17,1,0.2,Marvellous,140
B1,3,18,1,0.6,Marvellous,156
B2,1,1,2,0.4,Victory,97
B2,2,2,2,0.6,Victory,100
B2,3,3,2,0,Marvellous,96
B2,1,4,2,0.2,Marvellous,124
B2,2,5,2,0,GoldenRain,70
B2,3,6,2,0.4,GoldenRain,126
B4,1,7,2,0.6,GoldenRain,133
B4,2,8,2,0,GoldenRain,64
B4,3,9,2,0.4,Victory,81
B4,1,10,2,0,Victory,74
B4,2,11,2,0.6,Marvellous,117
B4,3,12,2,0,Marvellous,70
B1,1,13,2,0.6,GoldenRain,141
B1,2,14,2,0.2,GoldenRain,114
B1,3,15,2,0.4,Victory,157
B1,1,16,2,0.2,Victory,130
B1,2,17,2,0,Marvellous,105
B1,3,18,2,0.4,Marvellous,118
B6,1,1,3,0.4,Marvellous,119
B6,2,2,3,0,Marvellous,97
B6,3,3,3,0,GoldenRain,89
B6,1,4,3,0.6,GoldenRain,104
B6,2,5,3,0.6,Victory,113
B6,3,6,3,0.4,Victory,118
B3,1,7,3,0.2,Marvellous,129
B3,2,8,3,0.4,Marvellous,132
B3,3,9,3,0,Victory,68
B3,1,10,3,0.4,Victory,112
B3,2,11,3,0.4,GoldenRain,89
B3,3,12,3,0.6,GoldenRain,96
B5,1,13,3,0.6,Victory,116
B5,2,14,3,0.2,Victory,90
B5,3,15,3,0.6,GoldenRain,126
B5,1,16,3,0,GoldenRain,80
B5,2,17,3,0,Marvellous,63
B5,3,18,3,0.4,Marvellous,109
B6,1,1,4,0.6,Marvellous,121
B6,2,2,4,0.2,Marvellous,99
B6,3,3,4,0.2,GoldenRain,82
B6,1,4,4,0.4,GoldenRain,86
B6,2,5,4,0.2,Victory,74
B6,3,6,4,0,Victory,53
B3,1,7,4,0,Marvellous,89
B3,2,8,4,0.6,Marvellous,124
B3,3,9,4,0.2,Victory,64
B3,1,10,4,0.6,Victory,86
B3,2,11,4,0.2,GoldenRain,102
B3,3,12,4,0,GoldenRain,60
B5,1,13,4,0,Victory,62
B5,2,14,4,0.4,Victory,100
B5,3,15,4,0.2,GoldenRain,82
B5,1,16,4,0.4,GoldenRain,94
B5,2,17,4,0.2,Marvellous,70
B5,3,18,4,0.6,Marvellous,99
