Block,Row,Column,Genotype,Yield
1,1,1,G01,3.37917
1,2,1,G02,3.58748
1,3,1,G03,4.32812
1,4,1,G04,4.53642
1,5,1,G05,2.59224
1,6,1,G06,2.40708
1,7,1,G07,2.63853
1,8,1,G08,4.00409
1,9,1,G09,4.35126
1,10,1,G10,3.98094
1,11,1,G11,2.7774
1,12,1,G12,2.96256
1,13,1,G13,2.26821
1,14,1,G14,3.10143
1,15,1,G15,2.49966
1,16,1,G16,2.63853
1,17,1,G17,3.19401
1,18,1,G18,3.00885
1,19,1,G19,2.63853
1,20,1,G20,3.42546
1,21,1,G21,1.8516
1,22,1,G22,2.40708
1,23,1,G23,1.80531
1,24,1,G24,1.80531
1,25,1,G25,1.8516
1,26,1,G26,1.8516
1,27,1,G27,1.80531
1,28,1,G28,1.34241
1,29,1,G29,1.75902
1,30,1,G30,2.03676
1,31,1,G31,2.22192
1,32,1,G32,2.12934
1,33,1,G33,1.8516
1,34,1,G34,2.17563
1,35,1,G35,2.03676
1,36,1,G36,1.06467
1,37,1,G37,2.26821
1,38,1,G38,2.45337
1,39,1,G39,2.82369
1,40,1,G40,3.19401
1,41,1,G41,3.56433
1,42,1,G42,3.28659
1,43,1,G43,2.03676
1,44,1,G44,2.59224
1,45,1,G45,1.57386
1,46,1,G46,1.34241
1,47,1,G47,1.71273
1,48,1,G48,1.8516
1,49,1,G49,1.80531
1,50,1,G50,3.10143
2,1,2,G18,3.4949
2,2,2,G20,4.69844
2,3,2,G44,3.28659
2,4,2,G26,3.65691
2,5,2,G21,2.82369
2,6,2,G15,3.47175
2,7,2,G17,4.49013
2,8,2,G39,3.42546
2,9,2,G41,2.86998
2,10,2,G32,3.42546
2,11,2,G08,2.45337
2,12,2,G12,3.65691
2,13,2,G24,2.68482
2,14,2,G23,1.89789
2,15,2,G47,2.7774
2,16,2,G29,1.89789
2,17,2,G37,2.26821
2,18,2,G25,2.59224
2,19,2,G50,2.96256
2,20,2,G46,1.80531
2,21,2,G33,1.8516
2,22,2,G34,1.99047
2,23,2,G42,2.96256
2,24,2,G49,1.75902
2,25,2,G06,2.03676
2,26,2,G13,2.63853
2,27,2,G03,2.45337
2,28,2,G27,2.17563
2,29,2,G28,1.66644
2,30,2,G04,2.96256
2,31,2,G09,2.91627
2,32,2,G05,2.45337
2,33,2,G07,1.80531
2,34,2,G35,2.12934
2,35,2,G19,1.62015
2,36,2,G10,2.03676
2,37,2,G11,2.82369
2,38,2,G01,1.89789
2,39,2,G36,1.11096
2,40,2,G31,1.48128
2,41,2,G02,2.26821
2,42,2,G38,1.43499
2,43,2,G14,2.08305
2,44,2,G43,2.08305
2,45,2,G40,2.59224
2,46,2,G48,1.52757
2,47,2,G22,2.17563
2,48,2,G45,1.75902
2,49,2,G30,1.34241
2,50,2,G16,2.12934
3,1,3,G14,3.00885
3,2,3,G16,3.91151
3,3,3,G28,2.3145
3,4,3,G32,4.32812
3,5,3,G06,3.14772
3,6,3,G11,4.1661
3,7,3,G31,3.63377
3,8,3,G43,3.07829
3,9,3,G01,4.92989
3,10,3,G36,2.22192
3,11,3,G18,2.68482
3,12,3,G46,2.12934
3,13,3,G07,2.36079
3,14,3,G29,2.59224
3,15,3,G02,3.42546
3,16,3,G21,2.3145
3,17,3,G45,1.89789
3,18,3,G23,1.8516
3,19,3,G17,3.14772
3,20,3,G25,2.3145
3,21,3,G47,2.17563
3,22,3,G34,2.17563
3,23,3,G03,2.36079
3,24,3,G24,1.75902
3,25,3,G20,1.66644
3,26,3,G27,1.43499
3,27,3,G22,2.45337
3,28,3,G42,2.45337
3,29,3,G04,3.19401
3,30,3,G19,1.99047
3,31,3,G30,1.43499
3,32,3,G05,1.8516
3,33,3,G15,1.71273
3,34,3,G49,1.80531
3,35,3,G44,1.80531
3,36,3,G50,1.94418
3,37,3,G10,1.75902
3,38,3,G26,1.75902
3,39,3,G09,2.40708
3,40,3,G13,1.8516
3,41,3,G35,1.80531
3,42,3,G38,1.48128
3,43,3,G41,1.57386
3,44,3,G40,1.80531
3,45,3,G37,1.59701
3,46,3,G33,1.43499
3,47,3,G12,2.49966
3,48,3,G08,1.80531
3,49,3,G48,1.99047
3,50,3,G39,1.66644
